,GameID,EnteredDateTimeUTC,EnteredDateTimeET,AwayTeam,HomeTeam,DoubleHeaderGame,AwayStartingPitcher,HomeStartingPicher,FinalScoreAway,FinalScoreHome
554,CHN201605150,2016-05-14 13:19,2016-05-14 9:19,Pittsburgh Pirates,Chicago Cubs,0,g cole,J LESTER,2,1
555,TEX201605150,2016-05-14 13:23,2016-05-14 9:23,Toronto Blue Jays,Texas Rangers,0,a sanchez,C RAMOS,6,7
556,SEA201605150,2016-05-14 13:23,2016-05-14 9:23,Los Angeles Angels of Anaheim,Seattle Mariners,0,h santiago,F HERNANDEZ,3,0
557,COL201605150,2016-05-14 13:20,2016-05-14 9:20,New York Mets,Colorado Rockies,0,j degrom,T CHATWOOD,3,4
558,ARI201605150,2016-05-14 13:21,2016-05-14 9:21,San Francisco Giants,Arizona Diamondbacks,0,m cain,R DE LA ROSA,2,1
559,LAN201605150,2016-05-14 13:21,2016-05-14 9:21,St. Louis Cardinals,Los Angeles Dodgers,0,m leake,A WOOD,5,2
560,CLE201605160,2016-05-15 11:21,2016-05-15 7:21,Cincinnati Reds,Cleveland Indians,0,j lamb,C ANDERSON,6,15
561,PIT201605160,2016-05-15 11:20,2016-05-15 7:20,Atlanta Braves,Pittsburgh Pirates,0,w perez,J NIESE,5,8
562,PHI201605160,2016-05-15 11:21,2016-05-15 7:21,Miami Marlins,Philadelphia Phillies,0,a conley,J EICKHOFF,5,3
563,TOR201605160,2016-05-15 11:21,2016-05-15 7:21,Tampa Bay Rays,Toronto Blue Jays,0,d smyly,JA HAPP,13,2
564,DET201605160,2016-05-15 11:21,2016-05-15 7:21,Minnesota Twins,Detroit Tigers,0,j berrios,J ZIMMERMANN,8,10
565,ARI201605160,2016-05-16 7:02,2016-05-16 3:02,New York Yankees,Arizona Diamondbacks,0,c green,R RAY,2,12
566,OAK201605160,2016-05-15 11:21,2016-05-15 7:21,Texas Rangers,Oakland Athletics,0,d holland,S MANAEA,1,3
567,LAN201605160,2016-05-15 11:22,2016-05-15 7:22,Los Angeles Angels of Anaheim,Los Angeles Dodgers,0,m shoemaker,K MAEDA,7,6
568,CLE201605170,2016-05-16 11:44,2016-05-16 7:44,Cincinnati Reds,Cleveland Indians,0,a simon,D SALAZAR,1,13
569,PIT201605170,2016-05-16 11:40,2016-05-16 7:40,Atlanta Braves,Pittsburgh Pirates,0,a blair,J NICASIO,9,12
570,PHI201605170,2016-05-16 11:40,2016-05-16 7:40,Miami Marlins,Philadelphia Phillies,0,w chen,V VELASQUEZ,1,3
571,BAL201605170,2016-05-16 11:43,2016-05-16 7:43,Seattle Mariners,Baltimore Orioles,0,w miley,U JIMENEZ,10,0
572,TOR201605170,2016-05-16 11:43,2016-05-16 7:43,Tampa Bay Rays,Toronto Blue Jays,0,c archer,M STROMAN,12,2
573,DET201605170,2016-05-16 11:43,2016-05-16 7:43,Minnesota Twins,Detroit Tigers,0,p hughes,M PELFREY,2,7
574,NYN201605170,2016-05-16 11:41,2016-05-16 7:41,Washington Nationals,New York Mets,0,m scherzer,N SYNDERGAARD,0,2
575,MIL201605170,2016-05-16 11:42,2016-05-16 7:42,Chicago Cubs,Milwaukee Brewers,0,k hendricks,C ANDERSON,2,4
576,CHA201605170,2016-05-16 11:43,2016-05-16 7:43,Houston Astros,Chicago White Sox,0,d keuchel,C RODON,6,5
577,KCA201605170,2016-05-16 18:15,2016-05-16 14:15,Boston Red Sox,Kansas City Royals,0,r porcello,Y VENTURA,4,8
578,SLN201605170,2016-05-16 11:42,2016-05-16 7:42,Colorado Rockies,St. Louis Cardinals,0,c bettis,J GARCIA,3,1
579,ARI201605170,2016-05-16 11:45,2016-05-16 7:45,New York Yankees,Arizona Diamondbacks,0,m pineda,Z GREINKE,3,5
580,OAK201605170,2016-05-17 3:45,2016-05-16 23:45,Texas Rangers,Oakland Athletics,0,c hamels,J HAHN,5,8
581,LAN201605170,2016-05-16 11:45,2016-05-16 7:45,Los Angeles Angels of Anaheim,Los Angeles Dodgers,0,j weaver,C KERSHAW,1,5
582,SDN201605170,2016-05-16 11:42,2016-05-16 7:42,San Francisco Giants,San Diego Padres,0,m bumgarner,C REA,5,1
583,PHI201605180,2016-05-17 11:38,2016-05-17 7:38,Miami Marlins,Philadelphia Phillies,0,t koehler,J HELLICKSON,2,4
584,DET201605180,2016-05-17 11:41,2016-05-17 7:41,Minnesota Twins,Detroit Tigers,0,r nolasco,J VERLANDER,3,6
585,KCA201605181,2016-05-17 11:42,2016-05-17 7:42,Boston Red Sox,Kansas City Royals,1,s wright,I KENNEDY,2,3
586,OAK201605180,2016-05-17 11:42,2016-05-17 7:42,Texas Rangers,Oakland Athletics,0,m perez,R HILL,1,8
587,PIT201605180,2016-05-17 11:39,2016-05-17 7:39,Atlanta Braves,Pittsburgh Pirates,0,j teheran,F LIRIANO,3,1
588,BAL201605180,2016-05-17 11:43,2016-05-17 7:43,Seattle Mariners,Baltimore Orioles,0,t walker,C TILLMAN,2,5
589,TOR201605180,2016-05-17 11:43,2016-05-17 7:43,Tampa Bay Rays,Toronto Blue Jays,0,j odorizzi,R DICKEY,6,3
590,CIN201605180,2016-05-18 4:01,2016-05-18 0:01,Cleveland Indians,Cincinnati Reds,0,m clevinger,B FINNEGAN,8,7
591,NYN201605180,2016-05-18 4:01,2016-05-18 0:01,Washington Nationals,New York Mets,0,g gonzalez,B COLON,7,1
592,MIL201605180,2016-05-17 11:39,2016-05-17 7:39,Chicago Cubs,Milwaukee Brewers,0,j lackey,J NELSON,2,1
593,CHA201605180,2016-05-17 11:43,2016-05-17 7:43,Houston Astros,Chicago White Sox,0,d fister,M LATOS,5,3
594,KCA201605182,2016-05-17 11:45,2016-05-17 7:45,Boston Red Sox,Kansas City Royals,2,d price,E VOLQUEZ,5,2
595,SLN201605180,2016-05-17 11:40,2016-05-17 7:40,Colorado Rockies,St. Louis Cardinals,0,c rusin,A WAINWRIGHT,0,2
596,ARI201605180,2016-05-17 11:44,2016-05-17 7:44,New York Yankees,Arizona Diamondbacks,0,n eovaldi,S MILLER,4,2
597,ANA201605180,2016-05-17 11:44,2016-05-17 7:44,Los Angeles Dodgers,Los Angeles Angels of Anaheim,0,m bolsinger,N TROPEANO,1,8
598,SDN201605180,2016-05-17 11:40,2016-05-17 7:40,San Francisco Giants,San Diego Padres,0,j cueto,D POMERANZ,2,1
599,BAL201605190,2016-05-18 12:29,2016-05-18 8:29,Seattle Mariners,Baltimore Orioles,0,n karns,T WILSON,7,2
600,MIL201605190,2016-05-18 12:27,2016-05-18 8:27,Chicago Cubs,Milwaukee Brewers,0,j hammel,J GUERRA,3,5
601,PIT201605190,2016-05-18 12:27,2016-05-18 8:27,Atlanta Braves,Pittsburgh Pirates,0,m foltynewicz,J LOCKE,2,8
602,CIN201605190,2016-05-18 12:30,2016-05-18 8:30,Cleveland Indians,Cincinnati Reds,0,j tomlin,T ADLEMAN,7,2
603,NYN201605190,2016-05-18 12:28,2016-05-18 8:28,Washington Nationals,New York Mets,0,s strasburg,M HARVEY,9,1
604,SLN201605190,2016-05-18 12:28,2016-05-18 8:28,Colorado Rockies,St. Louis Cardinals,0,j gray,M WACHA,7,13
605,CHA201605190,2016-05-18 12:30,2016-05-18 8:30,Houston Astros,Chicago White Sox,0,c mchugh,C SALE,1,2
606,MIN201605190,2016-05-18 12:30,2016-05-18 8:30,Toronto Blue Jays,Minnesota Twins,0,m estrada,E SANTANA,3,2
607,SDN201605190,2016-05-18 12:29,2016-05-18 8:29,San Francisco Giants,San Diego Padres,0,j samardzija,J SHIELDS,3,1
608,ANA201605190,2016-05-18 12:31,2016-05-18 8:31,Los Angeles Dodgers,Los Angeles Angels of Anaheim,0,r stripling,J CHACIN,4,7
609,OAK201605190,2016-05-18 12:30,2016-05-18 8:30,New York Yankees,Oakland Athletics,0,i nova,K GRAVEMAN,4,1
610,PHI201605200,2016-05-19 11:54,2016-05-19 7:54,Atlanta Braves,Philadelphia Phillies,0,m wisler,A NOLA,7,1
